ԱԱԽ	ɑ ɑ χ ə
բուսական	b u s ɑ k ɑ n
բուսականության	b u s ɑ k ɑ n u tʰ j ɑ n
բուսատեսակներ	b u s ɑ t e s ɑ k n e ɾ
բուրավետ	b u ɾ ɑ v e t
բուրգ	b u ɾ ɡ
բուրգաձեև	b u ɾ ɡ ɑ d͡z e e v
բուրգային	b u ɾ ɡ ɑ j i n
բուրգեր	b u ɾ ɡ e ɾ
բուրգերը	b u ɾ ɡ e ɾ ə
բուրգերի	b u ɾ ɡ e ɾ i
բուրգերին	b u ɾ ɡ e ɾ i n
Բուրգը	b u ɾ ɡ ə
բուրգն	b u ɾ ɡ n
Բուֆալո	b u f ɑ l o
Բուֆալոյում	b u f ɑ l o j u m
Բուֆֆալո-Փիթսբուրգ	b u f f ɑ l o pʰ i tʰ s b u ɾ ɡ
Բուֆֆալոյից	b u f f ɑ l o j i t͡sʰ
Բջիջ	b ə d͡ʒ i d͡ʒ
Բջիջը	b ə d͡ʒ i d͡ʒ ə
բջիջներ	b ə d͡ʒ i d͡ʒ n e ɾ
բջիջները	b ə d͡ʒ i d͡ʒ n e ɾ ə
բջիջների	b ə d͡ʒ i d͡ʒ n e ɾ i
բջիջներից	b ə d͡ʒ i d͡ʒ n e ɾ i t͡sʰ
բջիջներն	b ə d͡ʒ i d͡ʒ n e ɾ n
բջջային	b ə d͡ʒ ə d͡ʒ ɑ j i n
բջջից	b ə d͡ʒ ə d͡ʒ i t͡sʰ
բռնաբարել	b ə r n ɑ b ɑ ɾ e l
բռնել	b ə r n e l
բռնի	b ə r ə n i
բռնկումը	b ə r ə ŋ k u m ə
Բռնկումն	b ə r ə ŋ k u m n
բռնկվել	b ə r ə ŋ k v e l
բռնկվեց	b ə r ə ŋ k v e t͡sʰ
բռնությունը	b ə r n u tʰ j u n ə
բռնությունից	b ə r n u tʰ j u n i t͡sʰ
բռնում	b ə r n u m
բռնվել	b ə r n ə v e l
բվի	b ə v i
Բրադրը	b ɾ ɑ d ɾ ə
բրազիլական	b ɾ ɑ z i l ɑ k ɑ n
Բրազիլացին	b ɾ ɑ z i l ɑ t͡sʰ i n
Բրազիլիայի	b ɾ ɑ z i l j ɑ j i
Բրազիլիայում	b ɾ ɑ z i l j ɑ j u m
Բրազիլիան	b ɾ ɑ z i l j ɑ n
բրգաձև	b ə ɾ ɡ ɑ d͡z e v
Բրիսբեյնի	b ɾ i s b e j n i
Բրիտանական	b ɾ i t ɑ n ɑ k ɑ n
բրիտանացի	b ɾ i t ɑ n ɑ t͡sʰ i
Բրիտանիայի	b ɾ i t ɑ n j ɑ j i
Բրիտանիային	b ɾ i t ɑ n j ɑ j i n
Բրիտանիայում	b ɾ i t ɑ n j ɑ j u m
Բրիտանիան	b ɾ i t ɑ n j ɑ n
բրնձի	b ə ɾ ə n d͡z i
բրոնզե	b ɾ o n z e
բրոնզե	b ɾ o n z e
Բրոշյուրներում	b ɾ o ʃ j u ɾ n e ɾ u m
գա	ɡ ɑ
գագաթաներից	ɡ ɑ ɡ ɑ tʰ ɑ n e ɾ i t͡sʰ
գագաթը	ɡ ɑ ɡ ɑ tʰ ə
գագաթի	ɡ ɑ ɡ ɑ tʰ i
գագաթին	ɡ ɑ ɡ ɑ tʰ i n
գագաթից	ɡ ɑ ɡ ɑ tʰ i t͡sʰ
գագաթնաժողովին	ɡ ɑ ɡ ɑ tʰ n ɑ ʒ o ʁ o v i n
գագաթնակետին	ɡ ɑ ɡ ɑ tʰ n ɑ k e t i n
գազ	ɡ ɑ z
Գազա	ɡ ɑ z ɑ
գազամատակարար	ɡ ɑ z ɑ m ɑ t ɑ k ɑ ɾ ɑ ɾ
գազային	ɡ ɑ z ɑ j i n
գազերից	ɡ ɑ z e ɾ i t͡sʰ
Գազը	ɡ ɑ z ə
գազի	ɡ ɑ z i
գալ	ɡ ɑ l
գալակտիկայի	ɡ ɑ l ɑ k t i k ɑ j i
գալակտիկայից	ɡ ɑ l ɑ k t i k ɑ j i t͡sʰ
գալակտիկան	ɡ ɑ l ɑ k t i k ɑ n
Գալապագոսյան	ɡ ɑ l ɑ p ɑ ɡ o s j ɑ n
Գալապագոսների	ɡ ɑ l ɑ p ɑ ɡ o s n e ɾ i
գալը	ɡ ɑ l ə
Գալիլեյը	ɡ ɑ l i l e j ə
Գալիլեո	ɡ ɑ l i l e o
գալիս	ɡ ɑ l i s
գալիք	ɡ ɑ l i kʰ
գալոն	ɡ ɑ l o n
գալոնների	ɡ ɑ l o n n e ɾ i
գալով	ɡ ɑ l o v
գալու	ɡ ɑ l u
գալուց	ɡ ɑ l u t͡sʰ
գահակալության	ɡ ɑ h ɑ k ɑ l u tʰ j ɑ n
գահի	ɡ ɑ h i
գաղափար	ɡ ɑ ʁ ɑ pʰ ɑ ɾ
գաղափարը	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ə
գաղափարն	ɡ ɑ ʁ ɑ pʰ ɑ ɾ n
գաղափարների	ɡ ɑ ʁ ɑ pʰ ɑ ɾ n e ɾ i
գաղթային	ɡ ɑ χ tʰ ɑ j i n
գաղթել	ɡ ɑ χ tʰ e l
գաղութային	ɡ ɑ ʁ u tʰ ɑ j i n
գաղութարարները	ɡ ɑ ʁ u tʰ ɑ ɾ ɑ ɾ n e ɾ ə
գաղութացման	ɡ ɑ ʁ u tʰ ɑ t͡sʰ m ɑ n
գաղութացումն	ɡ ɑ ʁ u tʰ ɑ t͡sʰ u m n
գաղութը	ɡ ɑ ʁ u tʰ ə
գաղութի	ɡ ɑ ʁ u tʰ i
գաղտնագրված	ɡ ɑ χ t n ɑ ɡ ə ðɾ v ɑ t͡s
գաղտնի	ɡ ɑ χ t n i
գաղտնիության	ɡ ɑ χ t n i u tʰ j ɑ n
գաղտնիությունն	ɡ ɑ χ t n i u tʰ j u n n
գաղտնիքը	ɡ ɑ χ t n i kʰ ə
Գաման	ɡ ɑ m ɑ n
գայթակղությունը	ɡ ɑ j tʰ ɑ k ə ʁ u tʰ j u n ə
գայլերի	ɡ ɑ j l e ɾ i
գայլերից	ɡ ɑ j l e ɾ i t͡sʰ
գայլի	ɡ ɑ j l i
գանգի	ɡ ɑ ŋ ɡ i
գանձապահ	ɡ ɑ n d͡z ɑ p ɑ h
գանձերը	ɡ ɑ n d͡z e ɾ ə
գանձերի	ɡ ɑ n d͡z e ɾ i
գանձում	ɡ ɑ n d͡z u m
գանձվում	ɡ ɑ n d͡z v u m
Գանջեթիք	ɡ ɑ n d͡ʒ e tʰ i kʰ
գավաթը	ɡ ɑ v ɑ tʰ ə
գավառ	ɡ ɑ v ɑ r
գավառում	ɡ ɑ v ɑ r u m
Գարդենսի	ɡ ɑ ɾ d e n s i
Գարդիան	ɡ ɑ ɾ d j ɑ n
գարեջուր	ɡ ɑ ɾ e d͡ʒ u ɾ
գարեջուրը	ɡ ɑ ɾ e d͡ʒ u ɾ ə
գարեջրատների	ɡ ɑ ɾ e d͡ʒ ə ɾ ɑ t n e ɾ i
գարնանային	ɡ ɑ ɾ n ɑ n ɑ j i n
գարնանը	ɡ ɑ ɾ n ɑ n ə
գաք	ɡ ɑ kʰ
գեղագիտական	ɡ e ʁ ɑ ɡ i t ɑ k ɑ n
գեղարվեստական	ɡ e ʁ ɑ ɾ v e s t ɑ k ɑ n
գեղեցիկ	ɡ e ʁ e t͡sʰ i k
գեղեցկություն	ɡ e ʁ e t͡sʰ k u tʰ j u n
գեղեցկությունը	ɡ e ʁ e t͡sʰ k u tʰ j u n ə
գեղեցկուհուն	ɡ e ʁ e t͡sʰ k u h u n
Գեյթ	ɡ e j tʰ
Գեյմ	ɡ e j m
գենետիկ	ɡ e n e t i k
գենետիկական	ɡ e n e t i k ɑ k ɑ n
գեներալ	ɡ e n e ɾ ɑ l
գեներալներ	ɡ e n e ɾ ɑ l n e ɾ
գեներացումը	ɡ e n e ɾ ɑ t͡sʰ u m ə
գեներացումն	ɡ e n e ɾ ɑ t͡sʰ u m n
գենուս	ɡ e n u s
գեոֆիլտրումը	ɡ e o f i l t ɾ u m ə
գեոֆիլտրումը	ɡ e j o f i l t ɾ u m ə
գետաբերանների	ɡ e t ɑ b e ɾ ɑ n n e ɾ i
գետաբերաններն	ɡ e t ɑ b e ɾ ɑ n n e ɾ n
գետահովիտը	ɡ e t ɑ h o v i t ə
գետերի	ɡ e t e ɾ i
գետը	ɡ e t ə
գետի	ɡ e t i
գետից	ɡ e t i t͡sʰ
գետն	ɡ e t n
գետնանուշը	ɡ e t n ɑ n u ʃ ə
գետնանցումների	ɡ e t n ɑ n t͡sʰ u m n e ɾ i
գետնի	ɡ e t n i
գետնին	ɡ e t n i n
գետով	ɡ e t o v
Գերագույն	ɡ e ɾ ɑ ɡ u j n
գերադասելի	ɡ e ɾ ɑ d ɑ s e l i
գերազանց	ɡ e ɾ ɑ z ɑ n t͡sʰ
գերազանցել	ɡ e ɾ ɑ z ɑ n t͡sʰ e l
գերազանցելով	ɡ e ɾ ɑ z ɑ n t͡sʰ e l o v
գերազանցությամբ	ɡ e ɾ ɑ z ɑ n t͡sʰ u tʰ j ɑ m b
գերազանցության	ɡ e ɾ ɑ z ɑ n t͡sʰ u tʰ j ɑ n
գերակայությունը	ɡ e ɾ ɑ k ɑ j u tʰ j u n ə
գերակշիռ	ɡ e ɾ ɑ k ə ʃ i r
գերակշռող	ɡ e ɾ ɑ k ə ʃ r o ʁ
գերեզմանը	ɡ e ɾ e z m ɑ n ə
գերեզմանի	ɡ e ɾ e z m ɑ n i
գերեզմանների	ɡ e ɾ e z m ɑ n n e ɾ i
գերեզմաններից	ɡ e ɾ e z m ɑ n n e ɾ i t͡sʰ
գերեզմանոց	ɡ e ɾ e z m ɑ n o t͡sʰ
գերեվարեց	ɡ e ɾ e v ɑ ɾ e t͡sʰ
գերեվարված	ɡ e ɾ e v ɑ ɾ v ɑ t͡s
գերիների	ɡ e ɾ i n e ɾ i
գերիշխող	ɡ e ɾ i ʃ χ o ʁ
գերխտացման	ɡ e ɾ χ ə t ɑ t͡sʰ m ɑ n
գերծանրաբեռնվածությունը	ɡ e ɾ t͡s ɑ n ɾ ɑ b e r n ə v ɑ t͡s u tʰ j u n ə
գերմանական	ɡ e ɾ m ɑ n ɑ k ɑ n
գերմանացի	ɡ e ɾ m ɑ n ɑ t͡sʰ i
Գերմանացիները	ɡ e ɾ m ɑ n ɑ t͡sʰ i n e ɾ ə
գերմանացիների	ɡ e ɾ m ɑ n ɑ t͡sʰ i n e ɾ i
գերմանացիներին	ɡ e ɾ m ɑ n ɑ t͡sʰ i n e ɾ i n
գերմաներենի	ɡ e ɾ m ɑ n e ɾ e n i
գերմաներենից	ɡ e ɾ m ɑ n e ɾ e n i t͡sʰ
Գերմանիա	ɡ e ɾ m ɑ n j ɑ
Գերմանիայի	ɡ e ɾ m ɑ n j ɑ j i
Գերմանիայից	ɡ e ɾ m ɑ n j ɑ j i t͡sʰ
Գերմանիան	ɡ e ɾ m ɑ n j ɑ n
գերշահույթները	ɡ e ɾ ʃ ɑ h u j tʰ n e ɾ ə
գերտաքացման	ɡ e ɾ t ɑ kʰ ɑ t͡sʰ m ɑ n
Գիբսոնին	ɡ i b s o n i n
գիգանտ	ɡ i ɡ ɑ n t
Գիզայի	ɡ i z ɑ j i
Գինգրիչը	ɡ i ŋ ɡ ɾ i t͡ʃʰ ə
Գինգրիչին	ɡ i ŋ ɡ ɾ i t͡ʃʰ i n
Գինեսի	ɡ i n e s i
գինը	ɡ i n ə
գինիներ	ɡ i n i n e ɾ
գինիներն	ɡ i n i n e ɾ n
Գիննեսը	ɡ i n n e s ə
գիշատիչը	ɡ i ʃ ɑ t i t͡ʃʰ ə
գիշատիչներից	ɡ i ʃ ɑ t i t͡ʃʰ n e ɾ i t͡sʰ
գիշեր	ɡ i ʃ e ɾ
գիշեր-ցերեկ	ɡ i ʃ e ɾ t͡sʰ e ɾ e k
գիշերակաց	ɡ i ʃ e ɾ ɑ k ɑ t͡sʰ
գիշերային	ɡ i ʃ e ɾ ɑ j i n
գիշերել	ɡ i ʃ e ɾ e l
գիշերը	ɡ i ʃ e ɾ ə
գիշերն	ɡ i ʃ e ɾ n
գիշերները	ɡ i ʃ e ɾ n e ɾ ə
գիշերվա	ɡ i ʃ e ɾ v ɑ
Գիշերվանից	ɡ i ʃ e ɾ v ɑ n i t͡sʰ
Գիսաստղերը	ɡ i s ɑ s t ʁ e ɾ ə
գիտական	ɡ i t ɑ k ɑ n
գիտակից	ɡ i t ɑ k i t͡sʰ
գիտակցաբար	ɡ i t ɑ k t͡sʰ ɑ b ɑ ɾ
գիտակցեն	ɡ i t ɑ k t͡sʰ e n
գիտակցության	ɡ i t ɑ k t͡sʰ u tʰ j ɑ n
գիտակցությունը	ɡ i t ɑ k t͡sʰ u tʰ j u n ə
գիտակցում	ɡ i t ɑ k t͡sʰ u m
գիտահետազոտական	ɡ i t ɑ h e t ɑ z o t ɑ k ɑ n
գիտափորձ	ɡ i t ɑ pʰ o ɾ t͡sʰ
գիտելիք	ɡ i t e l i kʰ
գիտելիքը	ɡ i t e l i kʰ ə
գիտելիքի	ɡ i t e l i kʰ i
գիտելիքներ	ɡ i t e l i kʰ n e ɾ
գիտելիքների	ɡ i t e l i kʰ n e ɾ i
գիտեմ	ɡ i t e m
գիտեն	ɡ i t e n
գիտենք	ɡ i t e ŋ kʰ
գիտեք	ɡ i t e kʰ
գիտի	ɡ i t i
գիտնական	ɡ i t n ɑ k ɑ n
գիտնականներ	ɡ i t n ɑ k ɑ n n e ɾ
գիտնականները	ɡ i t n ɑ k ɑ n n e ɾ ə
գիտնականների	ɡ i t n ɑ k ɑ n n e ɾ i
գիտնականներին	ɡ i t n ɑ k ɑ n n e ɾ i n
Գիտնականներն	ɡ i t n ɑ k ɑ n n e ɾ n
գիտության	ɡ i t u tʰ j ɑ n
Գիտությունը	ɡ i t u tʰ j u n ə
Գիտությունների	ɡ i t u tʰ j u n n e ɾ i
գիրոսկոպը	ɡ i ɾ o s k o p ə
գիրք	ɡ i ɾ kʰ
գիրքը	ɡ i ɾ kʰ ə
Գլազգոյում	ɡ l ɑ z ɡ o j u m
Գլեն	ɡ l e n
Գլինի	ɡ l i n i
գլխավոր	ɡ ə l χ ɑ v o ɾ
գլխավորապես	ɡ ə l χ ɑ v o ɾ ɑ p e s
գլխավորել	ɡ ə l χ ɑ v o ɾ e l
գլխավորությամբ	ɡ ə l χ ɑ v o ɾ u tʰ j ɑ m b
գլխացավանքի	ɡ ə l χ ɑ t͡sʰ ɑ v ɑ ŋ kʰ i
գլխաքանակ	ɡ ə l χ ɑ kʰ ɑ n ɑ k
գլխաքանակից	ɡ ə l χ ɑ kʰ ɑ n ɑ k i t͡sʰ
գլխի	ɡ ə l χ i
գլխին	ɡ ə l χ i n
գլխիվայր	ɡ ə l χ i v ɑ j ɾ
Գլոբալ	ɡ l o b ɑ l
գլորվել	ɡ ə l o ɾ v e l
գլուխ	ɡ ə l u χ
գլուխգործոցները	ɡ ə l u χ ɡ o ɾ t͡s o t͡sʰ n e ɾ ə
գլուխը	ɡ ə l u χ ə
գծային	ɡ ə t͡s ɑ j i n
գծանավի	ɡ ə t͡s ɑ n ɑ v i
գծապատկեր	ɡ ə t͡s ɑ p ɑ t k e ɾ
գծապատկերի	ɡ ə t͡s ɑ p ɑ t k e ɾ i
գծերը	ɡ ə t͡s e ɾ ə
գծերի	ɡ ə t͡s e ɾ i
գծի	ɡ ə t͡s i
գծին	ɡ ə t͡s i n
գծով	ɡ ə t͡s o v
Գյոթեն	ɡ j o tʰ e n
գյուղական	ɡ j u ʁ ɑ k ɑ n
գյուղատնտեսական	ɡ j u ʁ ɑ t ə n t e s ɑ k ɑ n
գյուղատնտեսի	ɡ j u ʁ ɑ t ə n t e s i
գյուղատնտեսությամբ	ɡ j u ʁ ɑ t ə n t e s u tʰ j ɑ m b
գյուղատնտեսության	ɡ j u ʁ ɑ t ə n t e s u tʰ j ɑ n
գյուղերը	ɡ j u ʁ e ɾ ə
Գյուղերին	ɡ j u ʁ e ɾ i n
գյուղն	ɡ j u ʁ n
գյուղում	ɡ j u ʁ u m
Գյուտը	ɡ j u t ə
Գյուրսեսը	ɡ j u ɾ s e s ə
գնալ	ɡ ə n ɑ l
գնալ-գալ	ɡ ə n ɑ l ɡ ɑ l
գնալիս	ɡ ə n ɑ l i s
գնալով	ɡ ə n ɑ l o v
գնալու	ɡ ə n ɑ l u
գնած	ɡ ə n ɑ t͡s
գնահատականներ	ɡ ə n ɑ h ɑ t ɑ k ɑ n n e ɾ
գնահատականներն	ɡ ə n ɑ h ɑ t ɑ k ɑ n n e ɾ n
գնահատանքի	ɡ ə n ɑ h ɑ t ɑ ŋ kʰ i
գնահատել	ɡ ə n ɑ h ɑ t e l
գնահատելով	ɡ ə n ɑ h ɑ t e l o v
գնահատելու	ɡ ə n ɑ h ɑ t e l u
գնահատումներ	ɡ ə n ɑ h ɑ t u m n e ɾ
գնահատված	ɡ ə n ɑ h ɑ t v ɑ t͡s
գնահատվեց	ɡ ə n ɑ h ɑ t v e t͡sʰ
գնահատվում	ɡ ə n ɑ h ɑ t v u m
գնային	ɡ ə n ɑ j i n
գնացել	ɡ ə n ɑ t͡sʰ e l
գնացին	ɡ ə n ɑ t͡sʰ i n
գնացիք	ɡ ə n ɑ t͡sʰ i kʰ
գնացողները	ɡ ə n ɑ t͡sʰ o ʁ n e ɾ ə
գնացք	ɡ ə n ɑ t͡sʰ kʰ
գնացքը	ɡ ə n ɑ t͡sʰ kʰ ə
գնացքի	ɡ ə n ɑ t͡sʰ kʰ i
գնացքին	ɡ ə n ɑ t͡sʰ kʰ i n
գնացքները	ɡ ə n ɑ t͡sʰ kʰ n e ɾ ə
գնացքներում	ɡ ə n ɑ t͡sʰ kʰ n e ɾ u m
գնացքում	ɡ ə n ɑ t͡sʰ kʰ u m
գնաք	ɡ ə n ɑ kʰ
գնդակ	ɡ ə n d ɑ k
գնդակը	ɡ ə n d ɑ k ə
գնդակի	ɡ ə n d ɑ k i
գնդակներից	ɡ ə n d ɑ k n e ɾ i t͡sʰ
գնդակներն	ɡ ə n d ɑ k n e ɾ n
գնդապետներ	ɡ ə n d ɑ p e t n e ɾ
գնել	ɡ ə n e l
գնելը	ɡ ə n e l ə
գնելու	ɡ ə n e l u
գներ	ɡ ə n e ɾ
գները	ɡ ə n e ɾ ə
գներն	ɡ ə n e ɾ n
գներով	ɡ ə n e ɾ o v
գնման	ɡ ə n m ɑ n
գնով	ɡ ə n o v
գնում	ɡ ə n u m
գնումը	ɡ ə n u m ə
գնումներ	ɡ ə n u m n e ɾ
գնչու	ɡ ə n t͡ʃʰ u
գոգավոր	ɡ o kʰ ɑ v o ɾ
Գոթական	ɡ o tʰ ɑ k ɑ n
գոլ	ɡ o l
գոլային	ɡ o l ɑ j i n
Գոլդասթ	ɡ o l d ɑ s tʰ
գոլը	ɡ o l ə
գոլի	ɡ o l i
գոլն	ɡ o l n
գոլորշիով	ɡ o l o ɾ ʃ i o v
գոլորշիով	ɡ o l o ɾ ʃ i j o v
գոլֆը	ɡ o l f ə
գոլֆն	ɡ o l f n
գոհացնելու	ɡ o h ɑ t͡sʰ n e l u
գոհունակություն	ɡ o h u n ɑ k u tʰ j u n
գողանալ	ɡ o ʁ ɑ n ɑ l
գողացված	ɡ o ʁ ɑ t͡sʰ v ɑ t͡s
գողության	ɡ o ʁ u tʰ j ɑ n
գողություն	ɡ o ʁ u tʰ j u n
Գոմայի	ɡ o m ɑ j i
Գոմայից	ɡ o m ɑ j i t͡sʰ
Գոման	ɡ o m ɑ n
Գոմուլկային	ɡ o m u l k ɑ j i n
գոյականացված	ɡ o j ɑ k ɑ n ɑ t͡sʰ v ɑ t͡s
գոյականները	ɡ o j ɑ k ɑ n n e ɾ ə
գոյատևել	ɡ o j ɑ t e v e l
գոյատևելու	ɡ o j ɑ t e v e l u
գոյատևմանը	ɡ o j ɑ t e v m ɑ n ə
գոյատևում	ɡ o j ɑ t e v u m
գոյություն	ɡ o j u tʰ j u n
գոյությունը	ɡ o j u tʰ j u n ə
գոնե	ɡ o n e
Գոնուն	ɡ o n u n
Գոու	ɡ o u
գոռում	ɡ o r u m
Գոսլինգը	ɡ o s l i ŋ ɡ ə
գովազդներ	ɡ o v ɑ z d n e ɾ
գովազդում	ɡ o v ɑ z d u m
գովելով	ɡ o v e l o v
գովեստի	ɡ o v e s t i
գոտի	ɡ o t i
գոտին	ɡ o t i n
գոտիների	ɡ o t i n e ɾ i
գոտկատեղ	ɡ o t k ɑ t e ʁ
գոտու	ɡ o t u
գոտում	ɡ o t u m
գորգիկի	ɡ o ɾ ɡ i k i
Գորդոն	ɡ o ɾ d o n
Գորդոնը	ɡ o ɾ d o n ə
գորիլաներին	ɡ o ɾ i l ɑ n e ɾ i n
Գորինն	ɡ o ɾ i n n
գործ	ɡ o ɾ t͡s
գործադիր	ɡ o ɾ t͡s ɑ d i ɾ
գործադիրի	ɡ o ɾ t͡s ɑ d i ɾ i
գործադրեին	ɡ o ɾ t͡s ɑ d ɾ e i n
գործադրեին	ɡ o ɾ t͡s ɑ d ɾ e j i n
գործադրում	ɡ o ɾ t͡s ɑ d ɾ u m
գործադրումը	ɡ o ɾ t͡s ɑ d ɾ u m ə
գործազուրկ	ɡ o ɾ t͡s ɑ z u ɾ k
գործակալ	ɡ o ɾ t͡s ɑ k ɑ l
գործակալը	ɡ o ɾ t͡s ɑ k ɑ l ə
գործակալի	ɡ o ɾ t͡s ɑ k ɑ l i
գործակալներ	ɡ o ɾ t͡s ɑ k ɑ l n e ɾ
գործակալները	ɡ o ɾ t͡s ɑ k ɑ l n e ɾ ə
գործակալների	ɡ o ɾ t͡s ɑ k ɑ l n e ɾ i
գործակալության	ɡ o ɾ t͡s ɑ k ɑ l u tʰ j ɑ n
գործակալությանը	ɡ o ɾ t͡s ɑ k ɑ l u tʰ j ɑ n ə
գործակալությունն	ɡ o ɾ t͡s ɑ k ɑ l u tʰ j u n n
գործակալություններ	ɡ o ɾ t͡s ɑ k ɑ l u tʰ j u n n e ɾ
գործակալություններին	ɡ o ɾ t͡s ɑ k ɑ l u tʰ j u n n e ɾ i n
գործակալություններն	ɡ o ɾ t͡s ɑ k ɑ l u tʰ j u n n e ɾ n
գործառական	ɡ o ɾ t͡s ɑ r ɑ k ɑ n
գործառնական	ɡ o ɾ t͡s ɑ r n ɑ k ɑ n
գործառույթներ	ɡ o ɾ t͡s ɑ r u j tʰ n e ɾ
գործարանի	ɡ o ɾ t͡s ɑ ɾ ɑ n i
գործարանից	ɡ o ɾ t͡s ɑ ɾ ɑ n i t͡sʰ
գործարանում	ɡ o ɾ t͡s ɑ ɾ ɑ n u m
գործարկման	ɡ o ɾ t͡s ɑ ɾ k m ɑ n
Գործարկումից	ɡ o ɾ t͡s ɑ ɾ k u m i t͡sʰ
գործարկվում	ɡ o ɾ t͡s ɑ ɾ k v u m
գործարք	ɡ o ɾ t͡s ɑ ɾ kʰ
գործարքներ	ɡ o ɾ t͡s ɑ ɾ kʰ n e ɾ
գործել	ɡ o ɾ t͡s e l
գործելակերպ	ɡ o ɾ t͡s e l ɑ k e ɾ p
գործելակերպի	ɡ o ɾ t͡s e l ɑ k e ɾ p i
գործելը	ɡ o ɾ t͡s e l ə
գործելով	ɡ o ɾ t͡s e l o v
գործելու	ɡ o ɾ t͡s e l u
գործելուց	ɡ o ɾ t͡s e l u t͡sʰ
գործերը	ɡ o ɾ t͡s e ɾ ə
գործերի	ɡ o ɾ t͡s e ɾ i
գործեց	ɡ o ɾ t͡s e t͡sʰ
Գործը	ɡ o ɾ t͡s ə
գործընթացային	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ ɑ j i n
գործընթացը	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ ə
գործընթացի	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ i
գործընթացին	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ i n
գործընթացն	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ n
գործընթացներ	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ n e ɾ
գործընթացները	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ n e ɾ ə
գործընթացում	ɡ o ɾ t͡s ə n tʰ ɑ t͡sʰ u m
գործընկերական	ɡ o ɾ t͡s ə ŋ k e ɾ ɑ k ɑ n
գործընկերներն	ɡ o ɾ t͡s ə ŋ k e ɾ n e ɾ n
գործընկերությամբ	ɡ o ɾ t͡s ə ŋ k e ɾ u tʰ j ɑ m b
գործի	ɡ o ɾ t͡s i
գործիչների	ɡ o ɾ t͡s i t͡ʃʰ n e ɾ i
գործիք	ɡ o ɾ t͡s i kʰ
գործիքի	ɡ o ɾ t͡s i kʰ i
գործիքներ	ɡ o ɾ t͡s i kʰ n e ɾ
գործիքների	ɡ o ɾ t͡s i kʰ n e ɾ i
գործիքներից	ɡ o ɾ t͡s i kʰ n e ɾ i t͡sʰ
գործիքներն	ɡ o ɾ t͡s i kʰ n e ɾ n
գործնական	ɡ o ɾ t͡s n ɑ k ɑ n
գործնականում	ɡ o ɾ t͡s n ɑ k ɑ n u m
գործող	ɡ o ɾ t͡s o ʁ
գործողության	ɡ o ɾ t͡s o ʁ u tʰ j ɑ n
գործողությանը	ɡ o ɾ t͡s o ʁ u tʰ j ɑ n ə
գործողություն	ɡ o ɾ t͡s o ʁ u tʰ j u n
գործողությունն	ɡ o ɾ t͡s o ʁ u tʰ j u n n
գործողություններ	ɡ o ɾ t͡s o ʁ u tʰ j u n n e ɾ
գործողությունները	ɡ o ɾ t͡s o ʁ u tʰ j u n n e ɾ ə
գործողությունների	ɡ o ɾ t͡s o ʁ u tʰ j u n n e ɾ i
գործողություններին	ɡ o ɾ t͡s o ʁ u tʰ j u n n e ɾ i n
գործողություններից	ɡ o ɾ t͡s o ʁ u tʰ j u n n e ɾ i t͡sʰ
գործոնն	ɡ o ɾ t͡s o n n
գործոններ	ɡ o ɾ t͡s o n n e ɾ
գործոնները	ɡ o ɾ t͡s o n n e ɾ ə
գործոնների	ɡ o ɾ t͡s o n n e ɾ i
գործում	ɡ o ɾ t͡s u m
գործուն	ɡ o ɾ t͡s u n
գործունեությունը	ɡ o ɾ t͡s u n e u tʰ j u n ə
գործունեությունների	ɡ o ɾ t͡s u n e u tʰ j u n n e ɾ i
գործունյա	ɡ o ɾ t͡s u n j ɑ
Գորն	ɡ o ɾ n
գուայկուրուն	ɡ u ɑ j k u ɾ u n
Գուառանիները	ɡ u ɑ r ɑ n i n e ɾ ə
Գութրումի	ɡ u tʰ ɾ u m i
գուլպաներ	ɡ u l p ɑ n e ɾ
գումար	ɡ u m ɑ ɾ
Գումարը	ɡ u m ɑ ɾ ə
գումարի	ɡ u m ɑ ɾ i
գումարների	ɡ u m ɑ ɾ n e ɾ i
գումարվել	ɡ u m ɑ ɾ v e l
գումարտակը	ɡ u m ɑ ɾ t ɑ k ə
գույն	ɡ u j n
գույներով	ɡ u j n e ɾ o v
գույնզգույն	ɡ u j n z ɡ u j n
գույնը	ɡ u j n ə
գունային	ɡ u n ɑ j i n
գունատ	ɡ u n ɑ t
գուշակել	ɡ u ʃ ɑ k e l
Գուռլին	ɡ u r l i n
Գուրմատ	ɡ u ɾ m ɑ t
Գուրու	ɡ u ɾ u
գուրուի	ɡ u ɾ u i
գուրուի	ɡ u ɾ u j i
Գուրուն	ɡ u ɾ u n
Գուցե	ɡ u t͡sʰ e
գոֆրեներն	ɡ o f ɾ e n e ɾ n
Գռանտը	ɡ r ɑ n t ə
Գռիդլին	ɡ r i d l i n
Գվիանայի	ɡ v j ɑ n ɑ j i
գտած	ɡ ə t ɑ t͡s
գտածոն	ɡ ə t ɑ t͡s o n
